//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 10000 tours.
// Ce CSV contient 1000 tours sur les 10000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
21,16.00,-4.00,17180398251313256448.00,-18879229042781335552.00,147393.74,3061035.38
22,3.17,1.50,2140131479776697.75,708724590382005.12,220994.15,420497.03
23,-1.74,-3.78,-4958673985085475.00,-1243420919275648.25,93477.57,405886.16
24,18.71,-11.14,3251944896440822.50,-1557620071330768.25,-7080917.85,20763834.38
25,10.83,10.32,443949496130127.69,2380984865456834.00,-6934299844992883.00,2024002436445001.50
26,14.44,-12.00,46806844449792944.00,-334052265235754112.00,-253430698070.61,6415592590.00
27,4.00,12.00,69358332735286239297536.00,46238883672909590560768.00,5419420.23,6638212.65
28,0.00,12.00,1765460305137301192704.00,314380824706281766912.00,3932129256058.63,-66052.87
29,0.00,16.00,25084384463778398208.00,12584506929483886592.00,-1596127472934.18,830196496647.50
30,18.55,11.03,151024822953.47,18070724059.40,-1146162979.00,7828175331.83
31,-7.23,15.64,-78983645305550.45,96414388440102.45,-56847247466552.81,77139152981881.70
32,-1.62,7.94,-13527448331910464.00,12162843453047362.00,11045681377.48,8742299075.26
33,8.00,0.00,42194797206918320357376.00,9418525006092752125952.00,-2297989.75,-62614533795.91
34,-0.33,-15.91,-176313511399998.12,-229711355335918.19,-6727420.33,1127033.76
35,-7.17,12.20,-10657775975651170.00,10106201047896694.00,136489.48,36592.69
36,15.22,7.92,39883910251876.97,7694059784488.01,49120256.76,14503848.96
37,15.00,4.50,-1659715635202341208064.00,-4618337213611563810816.00,-331960454225979034828800.00,-923716046541854915690496.00
38,10.00,-0.00,1408064648251831552.00,-3747077136774291521536.00,670239.94,-24285406.62
39,-10.50,-16.94,-40135687253757400.00,-15269629083301844.00,-2097088946.94,1654912922.60
40,6.69,-17.59,11849838610702828.00,-26368368905189320.00,-231666828222.63,100083724177.81
41,-12.84,17.08,-635390141231.57,495481514848.84,5312001.18,5728012.42
42,-1.97,12.17,-136343505102317.25,64747096355490.23,-3856592350.44,1914653692.64
43,3.00,5.50,569592369353840256.00,187490224279134656.00,205844363970.78,-422604841534.81
44,13.70,8.89,5773005668046.37,558007384634.55,-75554086.12,-180341911.87
45,-16.00,-5.50,-481617148583054464.00,-246295182897620544.00,-15287173713953.01,-6614873954743.27
46,-9.85,7.03,-348964652000712.56,373035270794401.94,7569938117.60,18110883519.54
47,13.06,13.50,1591659853355708.00,317657932042880.75,55836650.73,307472154.43
48,12.00,-4.00,611393572068580261888.00,-626079617112962236416.00,3298327833.80,-1551350206.40
49,2.00,8.69,656992379542520448.00,43646909652384896.00,-599342.42,125228790893.56
50,8.59,-14.34,25196016756937.98,-38453744575912.40,-55618.44,-54527.31
