//CSV contenant les positions et les vitesses de N=10 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
300,-3018.00,-67.00,-10.00,0.00,2726.01,537.99,9.00,2.00,-557.56,2058.76,-2.00,7.00,-3014.00,3011.00,-10.00,10.00,2016.70,-73.86,7.00,0.00,1557.00,-330.00,5.00,-1.00,368.35,-1164.30,1.12,-3.88,3072.00,244.00,10.00,1.00,-2773.00,3073.00,-9.00,10.00,362.02,-1544.03,1.00,-5.00
310,-3118.00,-67.00,-10.00,0.00,2816.01,557.99,9.00,2.00,-577.58,2128.79,-2.00,7.00,-3114.00,3111.00,-10.00,10.00,2086.69,-73.86,7.00,0.00,1607.00,-340.00,5.00,-1.00,379.54,-1203.06,1.12,-3.88,3172.00,254.00,10.00,1.00,-2863.00,3173.00,-9.00,10.00,372.02,-1594.03,1.00,-5.00
320,-3218.00,-67.00,-10.00,0.00,2906.01,577.99,9.00,2.00,-597.60,2198.81,-2.00,7.00,-3214.00,3211.00,-10.00,10.00,2156.68,-73.85,7.00,0.00,1657.00,-350.00,5.00,-1.00,390.72,-1241.83,1.12,-3.88,3272.00,264.00,10.00,1.00,-2953.00,3273.00,-9.00,10.00,382.02,-1644.03,1.00,-5.00
330,-3318.00,-67.00,-10.00,0.00,2996.01,597.99,9.00,2.00,-617.62,2268.84,-2.00,7.00,-3314.00,3311.00,-10.00,10.00,2226.67,-73.85,7.00,0.00,1707.00,-360.00,5.00,-1.00,401.91,-1280.59,1.12,-3.88,3372.00,274.00,10.00,1.00,-3043.00,3373.00,-9.00,10.00,392.02,-1694.03,1.00,-5.00
340,-3418.00,-66.99,-10.00,0.00,3086.01,617.99,9.00,2.00,-637.64,2338.86,-2.00,7.00,-3414.00,3411.00,-10.00,10.00,2296.66,-73.84,7.00,0.00,1757.00,-370.00,5.00,-1.00,413.10,-1319.36,1.12,-3.88,3472.00,284.00,10.00,1.00,-3133.00,3473.00,-9.00,10.00,402.02,-1744.03,1.00,-5.00
350,-3518.00,-66.99,-10.00,0.00,3176.01,637.99,9.00,2.00,-657.66,2408.89,-2.00,7.00,-3514.00,3511.00,-10.00,10.00,2366.64,-73.84,7.00,0.00,1807.00,-380.00,5.00,-1.00,424.28,-1358.12,1.12,-3.88,3572.00,294.00,10.00,1.00,-3223.00,3573.00,-9.00,10.00,412.02,-1794.03,1.00,-5.00
360,-3618.00,-66.99,-10.00,0.00,3266.01,657.99,9.00,2.00,-677.68,2478.92,-2.00,7.00,-3614.00,3611.00,-10.00,10.00,2436.63,-73.83,7.00,0.00,1857.00,-390.00,5.00,-1.00,435.47,-1396.89,1.12,-3.88,3672.00,304.00,10.00,1.00,-3313.00,3673.00,-9.00,10.00,422.02,-1844.03,1.00,-5.00
370,-3718.00,-66.99,-10.00,0.00,3356.01,677.99,9.00,2.00,-697.70,2548.94,-2.00,7.00,-3714.00,3711.00,-10.00,10.00,2506.62,-73.83,7.00,0.00,1907.00,-400.00,5.00,-1.00,446.66,-1435.65,1.12,-3.88,3772.00,314.00,10.00,1.00,-3403.00,3773.00,-9.00,10.00,432.02,-1894.03,1.00,-5.00
380,-3818.00,-66.99,-10.00,0.00,3446.01,697.99,9.00,2.00,-717.72,2618.97,-2.00,7.00,-3814.00,3811.00,-10.00,10.00,2576.61,-73.82,7.00,0.00,1957.00,-410.00,5.00,-1.00,457.84,-1474.42,1.12,-3.88,3872.00,324.00,10.00,1.00,-3493.00,3873.00,-9.00,10.00,442.02,-1944.03,1.00,-5.00
390,-3918.00,-66.99,-10.00,0.00,3536.01,717.99,9.00,2.00,-737.74,2688.99,-2.00,7.00,-3914.00,3911.00,-10.00,10.00,2646.60,-73.82,7.00,0.00,2007.00,-420.00,5.00,-1.00,469.03,-1513.18,1.12,-3.88,3972.00,334.00,10.00,1.00,-3583.00,3973.00,-9.00,10.00,452.02,-1994.03,1.00,-5.00
