//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 100 particules pendant T = 10000 tours.
// Ce CSV contient 1000 tours sur les 10000.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
95,4.00,3.00,-1.00,-1.00,0.11,-2.30
96,6.00,-7.00,0.00,0.00,-0.17,-24.18
97,3.00,0.00,-1.00,0.00,0.05,2.49
98,-10.00,-5.00,0.00,0.00,2.08,0.08
99,0.00,-8.00,-1.00,-1.00,0.13,-23.98
###### Tour 10 ######
0,3.78,4.42,8296.96,-180067.70,1562675.44,-36766691.50
1,-5.09,-8.91,-6.16,0.78,-305.20,-7.83
2,9.41,7.95,-4641.31,10304.38,-931276.26,2046528.45
3,-3.11,-9.09,-1.43,-0.66,-9.37,6.80
4,0.48,2.09,212.98,-3.85,37759.21,-879.70
5,-5.92,1.07,0.51,3.29,-10.39,55.52
6,7.98,-7.10,-0.75,-0.92,-15.48,2.31
7,2.09,-2.89,0.68,5.87,3.68,146.75
8,-13.80,7.76,-9606.20,13159.47,-334622.62,-548628.18
9,-10.00,-2.10,0.05,-0.94,1.10,1.27
10,9.62,4.47,1240.97,13082.10,50737.00,399802.11
11,-16.51,-10.32,-1874.96,-17091.21,-55089.82,-400287.55
12,-5.08,-2.98,-0.51,0.52,10.72,11.39
13,8.09,-2.89,0.55,1.46,-9.03,9.88
14,-7.89,1.09,1.34,0.52,7.62,-10.43
15,2.75,-18.72,14063.68,-30805.67,940837.35,-2049107.15
16,-1.91,-6.35,-0.53,-13.44,-82.28,-353.43
17,-6.23,5.74,-267.45,431.90,-29748.15,23701.31
18,-6.02,-4.02,-0.50,-0.58,-9.87,-11.73
19,9.10,-5.90,0.87,0.90,-5.61,-5.24
20,-17.04,13.57,-10594.07,1438.44,-575155.67,97036.77
21,-8.10,-9.90,-0.97,0.98,0.99,-0.66
22,12.49,-4.70,16342.85,-2408.22,575173.96,-97144.56
23,-5.32,-2.30,-65889355.05,-14220171.91,-4392610626.54,-948010350.76
24,3.11,4.02,4.91,2.64,705.91,429.42
25,-11.91,-0.49,-364968220405.27,-21272672757.05,-24331214668352.94,-1418178183291.81
26,-9.90,-10.00,0.92,-0.03,-1.94,-1.54
27,2.11,3.08,1.28,0.33,2.89,-11.30
28,6.81,8.00,-23.64,-4.94,-3059.74,-941.30
29,1.96,-5.85,1988.61,-13403.90,396816.64,-2667885.33
30,-3.97,0.18,195773.41,-176150.46,39148722.64,-35201530.31
31,12.27,15.12,46062145250.75,175578323076.21,3070299664734.86,11702494989044.15
32,-6.92,8.02,0.32,0.48,-32.31,1.77
33,5.87,7.98,268372.63,-181878.53,53675667.02,-36376331.24
34,-8.00,-4.00,0.82,-1.39,177.15,-300.79
35,-3.41,2.18,-179251295934.01,15967447104.76,-35850259106546.60,3193489419043.13
36,2.77,-13.44,12350.52,-22540.34,-901152.14,-1325380.70
37,5.75,6.06,208344542808.64,62370039518.23,-2331173616928.82,3212550511848.89
38,7.92,2.08,-0.48,0.41,11.82,-13.15
39,-8.00,-0.44,-1878660020441298688.00,-22619544962982668.00,-125244001362753208320.00,-1507969664198844672.00
40,-9.91,3.01,0.56,0.49,-10.38,9.76
41,-17.82,2.50,-5958.22,40084.15,-396818.67,2667715.60
42,11.68,-0.47,666559707132.25,-44859308212.73,26662388285226.00,-1794372328534.01
43,6.89,2.99,-1.46,-0.26,-11.53,-2.48
44,6.56,1.78,274395.83,35639.48,10972510.77,1425362.56
