//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
58,5.00,0.00,-1.59,23985.74,-11763.23,479714869.96
59,-10.00,-6.00,24175.36,-186.72,483507178.60,-3734494.41
60,8.00,4.00,23986.82,-375.96,479736428.55,-7499142.49
61,-4.00,7.00,24547.25,-24176.64,490965005.71,-483512733.69
62,-7.00,4.00,188.62,-190.77,3752403.17,-3815435.85
63,7.00,3.00,-23987.90,-23991.20,-479778066.64,-479823965.46
64,0.00,-2.00,374.67,23984.89,7493372.72,479697880.39
65,-10.00,-4.00,24366.54,370.99,487310707.04,7419753.65
66,-2.00,-2.00,2.83,4.09,56560.69,61765.27
67,2.00,-3.00,-48165.75,23802.60,-963294952.50,476032003.63
68,-7.00,-9.00,194.28,24178.49,3865688.44,483569856.45
69,-3.00,-4.00,-24174.59,188.88,-483471843.35,3797502.07
70,4.00,9.00,-3.73,-378.52,-74579.56,-7550401.06
71,7.00,1.00,-24177.74,-183.87,-483574761.39,-3677494.92
72,1.00,-8.00,-24175.75,192.86,-483494935.16,3877204.35
73,5.00,-4.00,-186.36,23804.65,-3747151.44,476092981.05
74,9.00,4.00,-23990.19,-47976.03,-479783726.26,-959520683.48
75,2.00,-4.00,-192.16,24179.14,-3843232.24,483602777.02
76,2.00,-2.00,-24738.86,-23988.17,-494757183.57,-479743470.36
77,-9.00,-3.00,24363.96,23991.41,487259248.88,479828213.04
78,-7.00,-8.00,24175.63,188.07,483512599.86,3781482.52
79,-6.00,8.00,-23614.19,-0.61,-472283736.24,-12129.52
80,6.00,-5.00,-3.75,1.86,-74918.08,17108.45
81,1.00,9.00,185.45,-562.99,3728989.69,-11279726.48
82,7.00,-4.00,-24363.95,-23991.53,-487298972.47,-479810695.48
83,4.00,7.00,23798.52,-24174.07,475990421.19,-483461442.85
84,-3.00,2.00,-3.53,-2.39,-50580.08,-67765.15
85,1.00,-4.00,-23799.41,24173.08,-475968231.81,483461592.69
86,-2.00,-6.00,23801.96,187.37,476019213.76,3747336.38
87,-8.00,-0.00,-23801.93,184.91,-476018647.27,3718145.58
88,-3.00,-5.00,-2.08,23991.87,-61567.43,479817322.09
89,-6.00,-2.00,48162.74,187.03,963254714.47,3740662.92
90,6.00,-8.00,23610.81,23989.05,472216186.75,479800993.33
91,-4.00,-4.00,48347.93,23613.26,966978598.47,472285106.97
92,-6.00,-5.00,24366.25,0.90,487304927.03,17974.61
93,9.00,-7.00,-375.70,48346.71,-7494068.66,966934245.48
94,-9.00,-0.00,47975.58,-3.56,959531538.85,-51178.32
95,8.00,-1.00,-188.07,187.34,-3741336.83,3746766.26
96,-10.00,3.00,561.28,-23800.26,11205523.12,-476025128.47
97,5.00,-9.00,-190.61,562.02,-3792123.17,11240485.51
98,9.00,3.00,-189.78,24171.33,-3815660.12,483426676.53
99,-1.00,8.00,-0.96,-23988.90,-39246.51,-479777973.76
###### Tour 2 ######
0,-6.80,-0.00,-47977.90,-11.47,-50549.16,-147031.62
1,9.00,-9.00,-5.36,17.86,-80212.04,125704.97
2,3.04,2.96,24508.26,-562.02,482783369.42,-3780246.42
3,-0.20,2.92,72023.71,-1193.57,480923112.46,-8751205.16
4,-4.96,-9.76,501.28,-47441.79,2267483.28,3178661.56
5,-0.37,-0.84,168448.29,-240000000007271232296032888275553480318819403106265071616.00,1442443549.81,-4800000000145424450789137278368117117938853176452138254991360.00
6,5.96,-1.84,-690.79,-72511.66,-6279282.37,-483026015.19
7,9.00,7.00,-12.93,-1.04,-92871.35,-6944.99
8,-3.04,3.16,-545.87,-48518.77,-3571886.46,-3236822.29
9,-3.80,-6.00,-95884.90,-23950.03,-958311944.35,-479059204.78
10,0.04,-5.76,24610.23,-71403.15,484702475.07,-475988770.02
11,-12.80,8.93,-71948.43,-25115.49,-479577946.85,-487342819.35
12,5.93,1.00,-1184.51,16.44,-8726783.18,179171.60
13,7.00,9.00,-14.27,-24023.82,-133785.70,-480408374.80
14,-7.60,-0.00,-29296875000887601598636827182074399452980884168245248.00,-10.55,-585937500017752008152970859175795546623395163141130158080.00,-31668.18
15,-2.93,4.93,1116.44,-1115.14,7398313.38,-7472592.32
16,-9.80,2.80,-71993.43,71990.04,-480365718.82,480273419.99
17,-5.00,-1.13,9.14,73118.66,-9956.18,487870412.48
18,-4.96,-4.16,6144000000186145025611580341560637461641483157241856.00,3072000000093072512805790170780318730820741578620928.00,122880000003722895152784327826431949684679596094487789568.00,61440000001861447576392163913215974842339798047243894784.00
19,-4.13,-2.00,97052.20,-24067.04,966579720.53,-481433572.85
20,-5.16,-3.16,72590.64,72483.35,484766857.93,482401835.05
21,-13.83,-0.84,-72485.12,-72525.05,-482892533.32,-483432690.50
22,-5.07,4.13,-1112.32,-73119.50,-7411863.96,-487883096.02
23,4.07,-1.00,1111.31,4.45,7375693.18,31140.17
24,-0.96,11.76,551.19,71402.58,3671173.36,476013955.62
