//CSV contenant les positions et les vitesses de N=10 particules évoluant dans un espace infini durant T=10000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
440,62.00,-1741.00,0.00,-4.00,-1281.00,-387.00,-3.00,-1.00,825.00,2224.00,2.00,5.00,3931.00,-55.00,9.00,-0.00,3176.00,3914.00,7.00,9.00,-4356.00,23.00,-10.00,0.00,3955.00,-919.00,9.00,-2.00,2686.00,1826.00,6.00,4.00,35.00,3949.00,0.00,9.00,1258.00,361.00,3.00,1.00
450,62.00,-1781.00,0.00,-4.00,-1311.00,-397.00,-3.00,-1.00,845.00,2274.00,2.00,5.00,4021.00,-55.00,9.00,-0.00,3246.00,4004.00,7.00,9.00,-4456.00,23.00,-10.00,0.00,4045.00,-939.00,9.00,-2.00,2746.00,1866.00,6.00,4.00,35.00,4039.00,0.00,9.00,1288.00,371.00,3.00,1.00
460,62.00,-1821.00,0.00,-4.00,-1341.00,-407.00,-3.00,-1.00,865.00,2324.00,2.00,5.00,4111.00,-55.00,9.00,-0.00,3316.00,4094.00,7.00,9.00,-4556.00,23.00,-10.00,0.00,4135.00,-959.00,9.00,-2.00,2806.00,1906.00,6.00,4.00,35.00,4129.00,0.00,9.00,1318.00,381.00,3.00,1.00
470,62.00,-1861.00,0.00,-4.00,-1371.00,-417.00,-3.00,-1.00,885.00,2374.00,2.00,5.00,4201.00,-55.00,9.00,-0.00,3386.00,4184.00,7.00,9.00,-4656.00,23.00,-10.00,0.00,4225.00,-979.00,9.00,-2.00,2866.00,1946.00,6.00,4.00,35.00,4219.00,0.00,9.00,1348.00,391.00,3.00,1.00
480,62.00,-1901.00,0.00,-4.00,-1401.00,-427.00,-3.00,-1.00,905.00,2424.00,2.00,5.00,4291.00,-55.00,9.00,-0.00,3456.00,4274.00,7.00,9.00,-4756.00,23.00,-10.00,0.00,4315.00,-999.00,9.00,-2.00,2926.00,1986.00,6.00,4.00,35.00,4309.00,0.00,9.00,1378.00,401.00,3.00,1.00
490,62.00,-1941.00,0.00,-4.00,-1431.00,-437.00,-3.00,-1.00,925.00,2474.00,2.00,5.00,4381.00,-55.00,9.00,-0.00,3526.00,4364.00,7.00,9.00,-4856.00,23.00,-10.00,0.00,4405.00,-1019.00,9.00,-2.00,2986.00,2026.00,6.00,4.00,35.00,4399.00,0.00,9.00,1408.00,411.00,3.00,1.00
500,62.00,-1981.00,0.00,-4.00,-1461.00,-447.00,-3.00,-1.00,945.00,2524.00,2.00,5.00,4471.00,-55.00,9.00,-0.00,3596.00,4454.00,7.00,9.00,-4956.00,23.00,-10.00,0.00,4495.00,-1039.00,9.00,-2.00,3046.00,2066.00,6.00,4.00,35.00,4489.00,0.00,9.00,1438.00,421.00,3.00,1.00
510,62.00,-2021.00,0.00,-4.00,-1491.00,-457.00,-3.00,-1.00,965.00,2574.00,2.00,5.00,4561.00,-55.00,9.00,-0.00,3666.00,4544.00,7.00,9.00,-5056.00,23.00,-10.00,0.00,4585.00,-1059.00,9.00,-2.00,3106.00,2106.00,6.00,4.00,35.00,4579.00,0.00,9.00,1468.00,431.00,3.00,1.00
520,62.00,-2061.00,0.00,-4.00,-1521.00,-467.00,-3.00,-1.00,985.00,2624.00,2.00,5.00,4651.00,-55.00,9.00,-0.00,3736.00,4634.00,7.00,9.00,-5156.00,23.00,-10.00,0.00,4675.00,-1079.00,9.00,-2.00,3166.00,2146.00,6.00,4.00,35.00,4669.00,0.00,9.00,1498.00,441.00,3.00,1.00
530,62.00,-2101.00,0.00,-4.00,-1551.00,-477.00,-3.00,-1.00,1005.00,2674.00,2.00,5.00,4741.00,-55.00,9.00,-0.00,3806.00,4724.00,7.00,9.00,-5256.00,23.00,-10.00,0.00,4765.00,-1099.00,9.00,-2.00,3226.00,2186.00,6.00,4.00,35.00,4759.00,0.00,9.00,1528.00,451.00,3.00,1.00
540,62.00,-2141.00,0.00,-4.00,-1581.00,-487.00,-3.00,-1.00,1025.00,2724.00,2.00,5.00,4831.00,-55.00,9.00,-0.00,3876.00,4814.00,7.00,9.00,-5356.00,23.00,-10.00,0.00,4855.00,-1119.00,9.00,-2.00,3286.00,2226.00,6.00,4.00,35.00,4849.00,0.00,9.00,1558.00,461.00,3.00,1.00
550,62.00,-2181.00,0.00,-4.00,-1611.00,-497.00,-3.00,-1.00,1045.00,2774.00,2.00,5.00,4921.00,-55.00,9.00,-0.00,3946.00,4904.00,7.00,9.00,-5456.00,23.00,-10.00,0.00,4945.00,-1139.00,9.00,-2.00,3346.00,2266.00,6.00,4.00,35.00,4939.00,0.00,9.00,1588.00,471.00,3.00,1.00
560,62.00,-2221.00,0.00,-4.00,-1641.00,-507.00,-3.00,-1.00,1065.00,2824.00,2.00,5.00,5011.00,-55.00,9.00,-0.00,4016.00,4994.00,7.00,9.00,-5556.00,23.00,-10.00,0.00,5035.00,-1159.00,9.00,-2.00,3406.00,2306.00,6.00,4.00,35.00,5029.00,0.00,9.00,1618.00,481.00,3.00,1.00
570,62.00,-2261.00,0.00,-4.00,-1671.00,-517.00,-3.00,-1.00,1085.00,2874.00,2.00,5.00,5101.00,-55.00,9.00,-0.00,4086.00,5084.00,7.00,9.00,-5656.00,23.00,-10.00,0.00,5125.00,-1179.00,9.00,-2.00,3466.00,2346.00,6.00,4.00,35.00,5119.00,0.00,9.00,1648.00,491.00,3.00,1.00
580,62.00,-2301.00,0.00,-4.00,-1701.00,-527.00,-3.00,-1.00,1105.00,2924.00,2.00,5.00,5191.00,-55.00,9.00,-0.00,4156.00,5174.00,7.00,9.00,-5756.00,23.00,-10.00,0.00,5215.00,-1199.00,9.00,-2.00,3526.00,2386.00,6.00,4.00,35.00,5209.00,0.00,9.00,1678.00,501.00,3.00,1.00
590,62.00,-2341.00,0.00,-4.00,-1731.00,-537.00,-3.00,-1.00,1125.00,2974.00,2.00,5.00,5281.00,-55.00,9.00,-0.00,4226.00,5264.00,7.00,9.00,-5856.00,23.00,-10.00,0.00,5305.00,-1219.00,9.00,-2.00,3586.00,2426.00,6.00,4.00,35.00,5299.00,0.00,9.00,1708.00,511.00,3.00,1.00
600,62.00,-2381.00,0.00,-4.00,-1761.00,-547.00,-3.00,-1.00,1145.00,3024.00,2.00,5.00,5371.00,-55.00,9.00,-0.00,4296.00,5354.00,7.00,9.00,-5956.00,23.00,-10.00,0.00,5395.00,-1239.00,9.00,-2.00,3646.00,2466.00,6.00,4.00,35.00,5389.00,0.00,9.00,1738.00,521.00,3.00,1.00
